name,brand,supermarket,weight,weight_unit,price_before,price_after,discount_percentage,promotion_start_date,promotion_end_date,protein_per_100g,carbs_per_100g,fiber_per_100g,fat_per_100g,calories_per_100g,rating,points,active,vegan
Rundergehakt,AH,Albert Heijn,300,g,4.89,3.99,18,2026-05-18,2026-05-25,19,0,0,15,220,2.5,49.2,TRUE,FALSE
Scharrel kipdijfilet reepjes,AH,Albert Heijn,350,g,4.99,3.99,20,2026-05-18,2026-05-25,20,0,0,8,160,2.9,58.6,TRUE,FALSE
Scharrel kip shoarma,AH,Albert Heijn,400,g,5.79,4.79,17,2026-05-18,2026-05-25,19,2,0,7,155,2.7,54.1,TRUE,FALSE
Scharrel kip shoarma,AH,Albert Heijn,650,g,8.49,7.49,12,2026-05-18,2026-05-25,19,2,0,7,155,2.6,52.3,TRUE,FALSE
Scharrel kip gyros,AH,Albert Heijn,400,g,5.79,4.79,17,2026-05-18,2026-05-25,19,2,0,7,155,2.7,54.1,TRUE,FALSE
Scharrel kip kebab,AH,Albert Heijn,400,g,5.79,4.79,17,2026-05-18,2026-05-25,19,2,0,7,155,2.7,54.1,TRUE,FALSE
Gepaneerde schnitzel 2 stuks,AH,Albert Heijn,300,g,3.99,2.99,25,2026-05-18,2026-05-25,16,14,1,8,195,2.6,51.9,TRUE,FALSE
Schnitzel Hongaarse stijl 2 stuks,AH,Albert Heijn,300,g,3.99,2.99,25,2026-05-18,2026-05-25,16,14,1,9,200,2.6,51.6,TRUE,FALSE
Gepaneerde gehaktschnitzel,AH,Albert Heijn,200,g,3.99,2.99,25,2026-05-18,2026-05-25,14,14,1,12,230,2,40.5,TRUE,FALSE
Schnitzel krokant met cornflakes,AH,Albert Heijn,300,g,3.99,2.99,25,2026-05-18,2026-05-25,16,16,1,9,210,2.6,51.3,TRUE,FALSE
Kipfilet,Wahid,Albert Heijn,400,g,5.99,5.99,104,2026-05-18,2026-05-25,23,0,0,1.5,110,3.5,69.3,TRUE,FALSE
